,0
id,0.0
Basic_Demos-Enroll_Season,0.0
Basic_Demos-Age,0.0
Basic_Demos-Sex,0.0
CGAS-Season,0.8259803921568627
CGAS-CGAS_Score,0.9354575163398693
Physical-Season,0.4158496732026144
Physical-BMI,0.5955882352941176
Physical-Height,0.5939542483660131
Physical-Weight,0.5882352941176471
Physical-Waist_Circumference,0.6609477124183006
Physical-Diastolic_BP,0.6111111111111112
Physical-HeartRate,0.6070261437908496
Physical-Systolic_BP,0.6111111111111112
Fitness_Endurance-Season,0.9607843137254902
Fitness_Endurance-Max_Stage,0.9901960784313726
Fitness_Endurance-Time_Mins,0.9901960784313726
Fitness_Endurance-Time_Sec,0.9901960784313726
FGC-Season,0.42892156862745096
FGC-FGC_CU,0.670751633986928
FGC-FGC_CU_Zone,0.6748366013071896
FGC-FGC_GSND,0.8349673202614379
FGC-FGC_GSND_Zone,0.8382352941176471
FGC-FGC_GSD,0.8341503267973857
FGC-FGC_GSD_Zone,0.8374183006535948
FGC-FGC_PU,0.6723856209150327
FGC-FGC_PU_Zone,0.6764705882352942
FGC-FGC_SRL,0.6781045751633987
FGC-FGC_SRL_Zone,0.6813725490196079
FGC-FGC_SRR,0.6781045751633987
FGC-FGC_SRR_Zone,0.6813725490196079
FGC-FGC_TL,0.6691176470588235
FGC-FGC_TL_Zone,0.673202614379085
BIA-Season,0.7540849673202614
BIA-BIA_Activity_Level_num,0.8545751633986928
BIA-BIA_BMC,0.8545751633986928
BIA-BIA_BMI,0.8545751633986928
BIA-BIA_BMR,0.8545751633986928
BIA-BIA_DEE,0.8545751633986928
BIA-BIA_ECW,0.8545751633986928
BIA-BIA_FFM,0.8545751633986928
BIA-BIA_FFMI,0.8545751633986928
BIA-BIA_FMI,0.8545751633986928
BIA-BIA_Fat,0.8545751633986928
BIA-BIA_Frame_num,0.8545751633986928
BIA-BIA_ICW,0.8545751633986928
BIA-BIA_LDM,0.8545751633986928
BIA-BIA_LST,0.8545751633986928
BIA-BIA_SMM,0.8545751633986928
BIA-BIA_TBW,0.8545751633986928
PAQ_A-Season,0.9084967320261438
PAQ_A-PAQ_A_Total,0.9084967320261438
PAQ_C-Season,0.7704248366013072
PAQ_C-PAQ_C_Total,0.7704248366013072
PCIAT-Season,1.0
PCIAT-PCIAT_01,1.0
PCIAT-PCIAT_02,1.0
PCIAT-PCIAT_03,1.0
PCIAT-PCIAT_04,1.0
PCIAT-PCIAT_05,1.0
PCIAT-PCIAT_06,1.0
PCIAT-PCIAT_07,1.0
PCIAT-PCIAT_08,1.0
PCIAT-PCIAT_09,1.0
PCIAT-PCIAT_10,1.0
PCIAT-PCIAT_11,1.0
PCIAT-PCIAT_12,1.0
PCIAT-PCIAT_13,1.0
PCIAT-PCIAT_14,1.0
PCIAT-PCIAT_15,1.0
PCIAT-PCIAT_16,1.0
PCIAT-PCIAT_17,1.0
PCIAT-PCIAT_18,1.0
PCIAT-PCIAT_19,1.0
PCIAT-PCIAT_20,1.0
PCIAT-PCIAT_Total,1.0
SDS-Season,0.9256535947712419
SDS-SDS_Total_Raw,0.9330065359477124
SDS-SDS_Total_T,0.9338235294117647
PreInt_EduHx-Season,0.3292483660130719
PreInt_EduHx-computerinternet_hoursday,0.4714052287581699
sii,1.0
