,id,sii
4,0016bb22,
7,0068a485,
8,0069fbed,
9,0083e397,
10,0087dd65,
13,00af6387,
14,00bd4359,
17,00d9913d,
19,00ebc35d,
29,0194c251,
30,019c9266,
32,01d24f60,
33,01dc6dcd,
34,01e9a5c0,
35,01f83da1,
37,02132c62,
39,021b2020,
40,0232fd98,
42,023e1b6a,
43,023eba7b,
47,0274e7f3,
65,03e83fef,
67,040d103f,
69,04189592,
71,0441d6af,
73,0470efa4,
76,04a1633e,
78,04aeed24,
84,04ccb838,
87,04df895a,
95,056d498e,
102,059fe566,
107,05dc60ef,
110,05ed65f0,
123,0677d22d,
126,068f83f2,
127,06b46af3,
136,07662280,
138,07840b8d,
143,083c9b36,
148,0882b065,
151,08c390b6,
156,0928b047,
159,094f8386,
160,09614060,
162,096e6074,
163,09817490,
169,09d3bd98,
171,09e4ac05,
175,09f84bae,
177,0a24c842,
185,0a88a5d5,
187,0a96d897,
194,0acda781,
203,0b74b755,
207,0b8cba78,
211,0bda0042,
213,0bf4e81b,
215,0c008058,
221,0c71fc27,
229,0cea0da4,
237,0d5e7943,
240,0d9bbd88,
241,0db8da5b,
246,0df73b79,
247,0dfcdebc,
251,0e3ec3fc,
252,0e64e5ef,
253,0e75ad18,
254,0e8a22e1,
258,0ec52194,
259,0ecdc3e0,
263,0ef6e368,
264,0f38e035,
266,0f5f3950,
272,0fced9cd,
274,0ff71f1a,
275,0ffadbba,
279,102e8b66,
280,105a2475,
283,10a3ff78,
288,10ea0f7e,
289,112a4635,
290,113ef295,
293,1159902c,
295,1169a538,
298,1187440a,
305,11dc7b56,
308,1205bbc5,
311,123e0518,
312,125175e1,
313,1262c9df,
314,1282c17a,
317,12a6d170,
320,12e5069f,
323,1306392e,
326,132a3165,
327,135af3fb,
332,13b5ac0f,
337,13e15532,
340,13efe653,
344,142242d9,
345,1427e325,
362,15132a7e,
363,151bf768,
366,153b6c12,
371,1582a4cb,
372,1586ae0d,
373,15961649,
375,15c8f4d0,
378,15e0568a,
385,1655fa88,
386,1661fd48,
387,16a8495c,
390,16e23cca,
395,1779e997,
397,17994e1d,
401,17f9beca,
402,18003485,
403,181172fe,
406,18350390,
409,18406565,
411,184f1b4b,
412,1850322c,
414,1866767b,
415,187779ed,
416,187b1802,
422,18c8541a,
427,19066573,
435,195f18ab,
437,199c885a,
440,19c870f0,
442,19ed1618,
443,1a1ada0d,
447,1a42abcc,
448,1a510bfd,
449,1a752b1a,
450,1a7df719,
452,1a92749e,
453,1a9e4b04,
456,1ad1ab77,
457,1adab915,
460,1b13223c,
467,1b496c35,
471,1b5fd952,
475,1ba0652b,
476,1bbba3ff,
478,1bceace4,
479,1c036e73,
481,1c1270a8,
483,1c34a090,
486,1c3fd520,
494,1ce16ede,
499,1d3dc8b3,
500,1d41578e,
501,1d44d99b,
502,1d63da6a,
507,1de34522,
509,1de762f1,
512,1e292d2f,
519,1ed564ef,
524,1f0aa085,
525,1f0f118d,
526,1f1205b2,
535,1f95c51b,
536,1f97a307,
541,200af20c,
542,20565aae,
545,209471ef,
546,20a67f23,
547,20c37863,
552,20ff26ce,
553,210baa62,
559,2197f92c,
561,21ae3c82,
564,21db593a,
573,224dfbfc,
576,2275e6d5,
577,22776248,
578,2282b403,
582,22d116bd,
585,22f7ddb8,
586,22f99fea,
589,232ee0c9,
596,23bd890b,
603,23ff8272,
604,240a2450,
605,243635c2,
618,25049e5c,
619,2506e8aa,
620,2522ab31,
623,257bf189,
624,25834ba8,
628,25e2cbc3,
631,25ff8d4d,
632,260c5288,
637,2654b1b9,
640,269e06d1,
645,26c7183b,
649,2708b80d,
652,273f11aa,
653,275769c4,
663,27f22533,
664,27f8e149,
665,2805045a,
666,2808658d,
669,282fa982,
671,284e8ef9,
676,2898e9d3,
679,28e370f4,
684,28fd1da9,
685,2911bcab,
689,2995b1c3,
694,2a004ad9,
696,2a2550a4,
697,2a320cba,
698,2a3a97de,
705,2a880860,
707,2a8ada58,
708,2a8ea138,
711,2aa01109,
716,2af988a1,
718,2afee795,
720,2b3a6805,
721,2b4c6c98,
725,2bbbdba7,
728,2bcbfb15,
729,2bd186e8,
733,2c30ef79,
741,2c81a9d4,
742,2c86162c,
743,2c913f37,
750,2cd9c56b,
751,2cda1052,
753,2cebc0d1,
756,2d0f9f5a,
758,2d38b5c0,
761,2d6668f1,
762,2d6a0178,
763,2d87fc7d,
766,2dc8340e,
767,2dca03d9,
768,2dcaf7cd,
769,2e12e513,
772,2e20c561,
775,2e4df75a,
778,2e71d21d,
784,2f044457,
790,2f37677d,
801,3032421f,
807,30a1d8fe,
812,3104c361,
821,319ea3cd,
822,31a02566,
826,31dc038d,
829,3204a251,
830,320991a5,
831,3210e833,
840,32857755,
844,32c04f66,
852,331c5a4a,
853,3327956c,
854,333af713,
856,3375a49c,
857,337c4d94,
863,33f9c85b,
865,34124db3,
873,347d2af9,
874,348136b6,
875,3492ccbd,
876,34af3570,
878,34d1aacc,
886,35272f43,
887,355bb19a,
889,3599e9d7,
890,35a94642,
891,35c49344,
895,35fe98b3,
897,3617e141,
898,3622933f,
900,364afc11,
903,366142d3,
904,3661e257,
905,366d28a8,
906,367cc279,
911,36cd03cf,
914,3709416b,
917,3720e5a7,
918,3728a93f,
921,374d3984,
922,375e2ee5,
925,379d558f,
928,37ddc2cf,
930,38137f22,
934,383ab806,
935,383d2ad2,
936,384b83f9,
940,3864dd31,
942,38aa4aed,
943,38cc02b7,
946,38df3cc5,
947,38edfccd,
950,3909a855,
957,39697713,
966,39dfffd1,
970,3a7154ef,
972,3aa62ad8,
979,3b0f680f,
982,3b7f721f,
983,3b98f56f,
984,3ba435d2,
