,id,sii
0,00008ff9,2.0
1,000fd460,0.0
2,00105258,0.0
3,00115b9f,1.0
5,001f3379,1.0
6,0038ba98,0.0
11,00abe655,0.0
12,00ae59c9,1.0
15,00c0cd71,2.0
16,00d56d4b,0.0
18,00e6167c,0.0
20,00f332d1,1.0
21,00f574e9,0.0
22,01085eb3,0.0
23,01182ce3,2.0
24,011e71c3,0.0
25,012cadd8,0.0
26,012e3869,0.0
27,014c303e,0.0
28,015ba5b1,2.0
31,01cae1ef,0.0
36,02073150,0.0
38,0219f64a,2.0
41,02347f13,0.0
44,026102c4,0.0
45,02648a1c,0.0
46,026fcbc3,0.0
48,029a19c9,1.0
49,02a01f18,0.0
50,02c4cf7f,1.0
51,02cebf33,1.0
52,02cf7384,0.0
53,02dcf62a,0.0
54,02e56a7c,0.0
55,0347462d,1.0
56,034f923b,0.0
57,0357a10e,1.0
58,035c96dd,0.0
59,0380e709,2.0
60,03833cec,0.0
61,0391e587,2.0
62,03a5c2d6,0.0
63,03a9019b,1.0
64,03bf5026,0.0
66,03f1c1c8,2.0
68,0417c91e,0.0
70,04370442,2.0
72,045a0a94,2.0
74,0471236c,0.0
75,0499c3e8,1.0
77,04ad419d,0.0
79,04af8fdd,0.0
80,04afb6f9,2.0
81,04b3cc70,0.0
82,04bb1a76,2.0
83,04cb2c30,1.0
85,04d06a9c,1.0
86,04dc7df1,1.0
88,04f094a8,1.0
89,0506b9cd,1.0
90,051680a0,1.0
91,051f73ae,0.0
92,052a1122,1.0
93,053d7d31,0.0
94,055156e2,2.0
96,05777ce1,2.0
97,058990e9,1.0
98,058d2812,2.0
99,0598f669,0.0
100,059e02ab,1.0
101,059eed01,0.0
103,05bbed1b,0.0
104,05bc318e,1.0
105,05d3d73a,0.0
106,05db1b9b,0.0
108,05e67680,0.0
109,05e94f88,0.0
111,05f2d1b5,0.0
112,0610c066,0.0
113,061f2866,2.0
114,0632d98a,0.0
115,063353cc,0.0
116,063b16fc,1.0
117,06472198,0.0
118,064e8da5,0.0
119,065801e3,0.0
120,066343d4,0.0
121,0668373f,2.0
122,0676ead5,0.0
124,067b9287,1.0
125,067de065,0.0
128,06c7dcff,0.0
129,06c8b2fb,0.0
130,06eb8adb,0.0
131,06ec8be3,1.0
132,070386b2,0.0
133,07048067,1.0
134,0720320e,0.0
135,0745c390,1.0
137,077ac7a2,1.0
139,07d879cf,1.0
140,080698b7,0.0
141,08159c5e,0.0
142,082df556,0.0
144,0844aee7,1.0
145,08577722,0.0
146,08660d12,2.0
147,086d6e7f,0.0
149,0884aca8,0.0
150,089a6b19,0.0
152,08fa44ad,1.0
153,09039272,0.0
154,092494ec,1.0
155,0924b815,1.0
157,092c29b9,0.0
158,09331bb8,2.0
161,096bf063,2.0
164,0983654b,0.0
165,098b5836,2.0
166,098d3c32,0.0
167,099e3614,0.0
168,09b29113,0.0
170,09d80057,1.0
172,09eeaba6,0.0
173,09eeec14,2.0
174,09f44fd2,0.0
176,0a1afc11,0.0
178,0a418b57,1.0
179,0a431608,0.0
180,0a4b1425,0.0
181,0a540797,0.0
182,0a5f1214,0.0
183,0a775819,2.0
184,0a822c93,1.0
186,0a9159f8,0.0
188,0a995f99,0.0
189,0aa90ce7,0.0
190,0aaf08ec,1.0
191,0ac521c8,3.0
192,0ac5e12f,1.0
193,0acac70c,1.0
195,0adf511d,1.0
196,0af81037,0.0
197,0afb2535,0.0
198,0b4014f0,0.0
199,0b4f597e,0.0
200,0b50f3fa,1.0
201,0b518637,0.0
202,0b6b07f6,0.0
204,0b7c6100,0.0
205,0b7d7aec,0.0
206,0b7d9da6,0.0
208,0b9fcc42,2.0
209,0ba53e53,2.0
210,0bd89878,0.0
212,0bdace00,0.0
214,0bfe4fc9,1.0
216,0c0a1576,0.0
